ÈÕÆÚ,sale_cnt,price
2011/1/21,1000,120
2011/2/14,10000,120
2011/2/16,6000,120
2011/2/17,17000,119.6666667
2011/2/18,22000,120
2011/2/21,10000,119
2011/2/22,5000,120
2011/2/23,44000,120
2011/2/24,45200,119.8
2011/2/25,5300,120
2011/2/28,8500,120.4
2011/3/1,7000,120
2011/3/3,800,118
2011/3/4,10000,120
2011/3/7,21000,120.7142857
2011/3/8,20000,120
2011/3/11,5000,128
2011/3/18,20000,125
2011/3/24,5000,128
2011/4/11,500,128
2011/4/14,10000,126
2011/4/22,2000,135
2011/4/25,27000,135
2011/4/27,8500,135.6
2011/4/28,26000,135
2011/4/29,7000,135
2011/5/3,10000,135
2011/5/9,3000,135
2011/5/10,2000,135
2011/5/23,10000,135
2011/5/24,12000,134
2011/5/25,3000,135
2011/5/26,2000,135
2011/5/27,17000,135
2011/5/31,8300,135
2011/6/1,17000,134.3333333
2011/6/8,5000,140
2011/6/9,8000,140
2011/6/13,1000,140
2011/6/14,500,145
2011/6/17,1000,145
2011/7/12,36000,151.5
2011/7/19,5000,150
2011/7/20,14000,151.3333333
2011/7/21,3000,153.5
2011/7/25,1000,158
2011/7/26,5000,150
2011/7/28,2000,152
2011/7/29,80000,150.75
2011/8/9,5000,152.5
2011/8/12,7000,154
2011/8/15,1000,154
2011/8/22,1000,158
2011/9/7,5000,153
2011/9/9,10000,145
2011/9/27,10000,145
2011/10/9,20000,149
2011/10/10,1000,149
2011/10/13,1000,155
2011/10/19,500,155
2011/10/27,5000,147
2011/11/8,1000,148
2011/11/11,1000,148
2011/11/28,3000,135
2011/12/6,800,146.5
2011/12/12,3000,130
2011/12/13,3000,132
2011/12/15,3000,130
2011/12/16,3000,120
2011/12/19,3000,132
2011/12/20,1000,135
2011/12/21,2000,130
2011/12/23,16000,126
2011/12/26,2000,120
2011/12/28,11000,129.6666667
2011/12/29,4000,132.5
2012/1/4,4000,119.5
2012/1/5,1000,130
2012/1/6,5000,128.5
2012/1/7,3000,127
2012/1/9,4000,125
2012/1/10,6500,129.5
2012/1/31,1000,125
2012/2/1,500,130
2012/2/2,1500,129
2012/2/6,2000,125
2012/2/9,5500,124.8
2012/2/10,18500,123.75
2012/2/13,95240,123.7727273
2012/2/14,119500,123.9130435
2012/2/15,29000,124.3333333
2012/2/21,5000,125
2012/2/22,6000,125
2012/2/24,3000,125
2012/3/2,5000,125
2012/3/3,10000,124
2012/3/5,40000,125
2012/3/6,3000,125
2012/3/7,300,130
2012/3/12,16000,128.75
2012/3/15,3000,128
2012/3/22,15000,127
2012/3/30,10000,125
2012/3/31,10000,128
2012/4/5,11000,129
2012/4/13,13000,130
2012/4/16,39000,130
2012/4/17,25500,130
2012/4/18,16000,130
2012/4/19,14000,130.1666667
2012/4/20,2000,130
2012/4/22,5000,130
2012/4/23,9000,130
2012/5/28,2000,140
2012/5/31,300,180
2012/6/8,24000,140
2012/6/11,3000,140
2012/6/12,18000,140
2012/6/13,2000,140
2012/6/18,100,180
2012/7/2,500,145
2012/7/4,5000,135
2012/7/16,3000,135
2012/7/20,10000,135
2012/7/23,5000,135
2012/8/1,500,137
2012/8/3,1000,135
2012/8/6,2000,135
2012/8/7,6000,135
2012/8/8,15000,133
2012/8/9,6000,135
2012/8/10,6000,135
2012/8/13,28000,132.5
2012/8/14,42000,134.3333333
2012/8/15,33000,134.6
2012/8/16,500,135
2012/8/17,4000,135
2012/8/21,500,135
2012/8/22,32000,134.75
2012/8/24,8000,134.5
2012/8/27,18000,135
2012/8/28,12000,134.6666667
2012/8/29,10000,134
2012/8/30,23000,135
2012/8/31,4000,135
2012/9/3,9000,135
2012/9/4,6000,135
2012/9/5,4000,135
2012/9/6,14500,135
2012/9/17,5000,135
2012/9/18,5000,135
2012/9/19,12000,135
2012/9/20,19000,135
2012/9/21,2000,135
2012/9/24,3000,135
2012/10/15,500,138
2012/10/18,3000,135
2012/10/22,1000,135
2012/10/23,200,140
2012/10/29,500,135
2012/11/7,100,140
2012/11/20,1000,135
2012/11/21,500,135
2012/11/26,7500,131.3333333
2012/11/27,4000,130
2012/11/28,2000,129
2012/11/29,2500,131
2012/12/3,3500,131.5
2012/12/5,3000,130
2012/12/6,2000,131
2012/12/7,500,130
2012/12/11,2000,130
2012/12/13,4000,129
2012/12/17,3300,130.25
2012/12/18,9000,129
2012/12/19,2000,129
2012/12/21,6000,128.5
2012/12/24,3000,129.5
2012/12/25,4500,129
2012/12/26,11000,129
2012/12/27,6000,128
2012/12/28,1000,129
2012/12/31,4000,128.5
2013/1/4,5000,128
2013/1/5,5500,129
2013/1/6,3800,128.5
2013/1/7,1500,129
2013/1/8,10000,128.75
2013/1/9,14000,128.3333333
2013/1/11,3000,129
2013/1/14,5000,128
2013/1/15,3000,129
2013/1/16,500,129
2013/1/17,3000,128
2013/1/18,19000,128.25
2013/1/22,13100,131
2013/1/23,5000,128
2013/1/30,2000,128
2013/2/1,10000,128
2013/2/16,10000,128
2013/2/18,23000,128
2013/2/19,1000,129
2013/2/20,1000,128
2013/2/21,23500,128
2013/2/22,63000,128
2013/2/25,14000,127.8333333
2013/2/26,4000,128
2013/2/27,13000,128
2013/2/28,3000,128
2013/3/1,10000,127
2013/3/4,22160,128.625
2013/3/5,37000,128
2013/3/6,88000,128.1818182
2013/3/7,215000,128.0862069
2013/3/8,15000,128
2013/3/11,1000,130
2013/3/12,10000,128
2013/3/28,45000,132
2013/4/3,5000,132
2013/4/7,5000,132
2013/4/8,5000,132
2013/4/10,1000,134
2013/5/7,1000,132
2013/5/10,2000,132
2013/6/3,12000,128
2013/6/5,1000,129
2013/6/6,1000,128
2013/6/13,600,128
2013/6/18,10000,128
2013/6/27,68000,127
2013/6/28,7000,128
2013/7/1,10000,126
2013/7/2,5000,128
2013/7/5,200,132
2013/7/8,2000,128.5
2013/7/17,1500,125
2013/7/19,2000,125
2013/7/23,500,127
2013/7/24,2000,126
2013/7/26,1000,128
2013/7/29,7000,125.5
2013/7/30,1000,126
2013/8/6,1000,126
2013/8/7,10000,125
2013/8/8,10000,125
2013/8/12,30000,124
2013/8/28,1000,125
2013/8/29,26000,121.2857143
2013/8/30,32000,120.6666667
2013/9/2,31000,120.75
2013/9/3,3000,122.5
2013/9/4,31000,121.25
2013/9/5,2000,122
2013/9/6,10000,120
2013/9/9,1000,122
2013/9/10,2000,121
2013/9/11,14000,121.3333333
2013/9/12,35000,120.6666667
2013/9/13,1500,121
2013/9/16,31000,120.6
2013/9/17,12000,120.75
2013/9/18,4000,120
2013/9/22,2000,121
2013/9/23,14000,120
2013/9/24,13000,118.5
2013/9/25,1000,120
2013/9/26,3000,120
2013/9/27,20500,120.3333333
2013/9/30,1000,120
2013/10/8,2000,121.5
2013/10/11,10000,120
2013/10/12,8160,120.5
2013/10/14,25000,119.6666667
2013/10/17,1000,120
2013/10/18,6200,120
2013/10/21,2000,120
2013/10/24,4000,120
2013/10/28,6000,118
2013/10/30,2000,118
2013/10/31,15000,115
2013/11/1,1000,119
2013/11/5,5000,118
2013/11/6,10000,115
2013/11/18,7000,118.3333333
2013/11/19,2000,118
2013/11/20,7000,115
2013/11/21,2000,118
2013/11/25,31000,117.3333333
2013/11/27,8000,115
2013/11/28,4000,116
2013/11/29,2000,118
2013/12/2,13000,117
2013/12/3,4000,116.5
2013/12/4,14000,133.75
2013/12/5,5000,116
2013/12/6,11000,117
2013/12/9,12000,118
2013/12/10,2000,118
2013/12/11,15000,116
2013/12/12,5000,116
2013/12/13,5000,116
2013/12/16,5000,117
2013/12/18,7000,116.5
2013/12/19,2000,116
2013/12/23,28000,117
2013/12/24,10000,116
2013/12/25,25500,111
2013/12/26,35000,110
2013/12/27,2000,117
2013/12/31,30000,110.45
2014/1/2,15500,117
2014/1/6,4000,116
2014/1/7,43000,116.4
2014/1/8,45000,115
2014/1/9,76000,116.5454545
2014/1/10,11000,116.5
2014/1/13,50000,116.5
2014/1/14,3000,116
2014/1/15,3000,116
2014/1/17,35000,125.3333333
2014/1/20,3000,116
2014/1/22,14000,116.6666667
2014/1/24,5000,116
2014/1/26,7000,116
2014/2/8,5000,116
2014/2/14,2000,117
2014/2/17,7000,116
2014/2/18,35000,116.2
2014/2/19,2000,117
2014/2/20,20000,116
2014/2/21,3000,117
2014/2/24,18000,116.8
2014/2/25,20000,100.2875
2014/3/4,10000,116
2014/3/6,2000,117
2014/3/8,5000,116
2014/3/11,1000,117
2014/3/25,20000,116
2014/3/27,2000,118
2014/4/1,2000,117
2014/4/4,3000,117
2014/4/8,15000,116.5
2014/4/10,5000,117
2014/4/11,10000,117
2014/4/19,20000,117
2014/4/21,10000,116
2014/4/22,13000,116.5
2014/4/23,6900,118
2014/4/28,8000,117
2014/4/29,5000,117.5
2014/4/30,300,122
2014/5/4,3000,118
2014/5/9,1000,117
2014/5/14,3000,117
2014/5/15,20000,117
2014/5/19,5000,117
2014/5/26,46000,117.5
2014/5/27,20000,117.5
2014/5/29,15000,117.5
2014/6/5,20000,117
2014/6/10,5000,117
2014/6/11,5500,115.3333333
2014/6/18,8000,116.5
2014/6/19,13500,107.85
2014/6/30,300,118
2014/7/2,260,125
2014/7/8,13000,117.5
2014/7/11,10000,117
2014/7/16,5000,110
2014/7/17,10000,117
2014/7/18,33000,117
2014/7/21,7000,114.5
2014/7/23,500,120
2014/7/29,2000,118
2014/7/30,30000,110
2014/8/5,1400,113
2014/8/7,2000,117
2014/8/8,6000,117
2014/8/20,29000,117
2014/8/29,2000,110
2014/9/2,65000,117.1111111
2014/9/3,3000,118
2014/9/4,11000,117
2014/9/5,7000,117
2014/9/9,4000,118
2014/9/10,21000,117.5
2014/9/11,20000,117
2014/9/12,2000,118
2014/9/16,15000,117
2014/9/17,20000,115
2014/9/19,43000,118
2014/9/25,11000,120
2014/9/26,32000,119
2014/10/8,39000,124.1666667
2014/10/9,38000,124
2014/10/11,5000,125
2014/10/13,1000,125
2014/10/14,22000,130
2014/10/16,15000,126
2014/10/17,21500,129
2014/10/20,10000,130
2014/10/21,20000,130
2014/10/22,6000,132
2014/10/24,10000,135
2014/10/27,1000,140
2014/12/2,25000,142.3333333
2014/12/3,15000,145
2014/12/8,500,140
2014/12/23,3000,123
2014/12/24,1000,123
2014/12/25,25000,120
2014/12/30,5000,120
2015/1/12,2000,120
2015/1/13,2000,118
2015/1/14,3000,120
2015/1/15,500,122
2015/1/21,5000,120
2015/1/22,4000,121
2015/1/26,5000,120
2015/2/2,20000,120
2015/2/6,15000,120
2015/2/9,20000,120
2015/2/26,5000,120
2015/3/3,5000,120
2015/3/4,29000,120.75
2015/3/5,11000,120
2015/3/6,1000,120
2015/3/9,50000,108.95
2015/3/11,6500,120
2015/3/16,12000,119.3333333
2015/3/17,10000,118
2015/3/18,51000,115.75
2015/3/19,3000,119
2015/3/20,15000,118
2015/3/24,40000,117.5
2015/3/25,3000,118
2015/3/26,117000,114.61625
2015/3/27,5000,118
2015/3/30,77000,117.0545455
2015/3/31,50600,116.6
2015/4/1,15000,118
2015/4/2,16000,118
2015/4/3,6500,116.5
2015/4/5,3000,118
2015/4/7,51000,117.8333333
2015/4/8,12000,118
2015/4/14,1000,118
2015/4/15,3000,118
2015/4/16,30000,118
2015/4/25,3000,118
2015/4/27,4000,118
2015/4/28,200,122
2015/4/29,10000,118
2015/5/13,3000,118
2015/5/14,20000,118
2015/5/18,15000,118
2015/5/19,35000,119
2015/5/20,63000,117.25
2015/5/25,20000,113
2015/5/27,4500,119
2015/6/3,1000,118
2015/6/4,2000,118
2015/6/9,6500,118.3333333
2015/6/26,5000,118
2015/9/17,30000,180
2015/9/18,10000,180
2015/9/22,2000,180
2015/9/23,1000,180
2015/9/25,27000,180
2015/9/28,15000,180
2015/9/29,20000,180
2015/9/30,5000,180
2015/10/8,8000,180
2015/10/9,15000,180
2015/10/19,5100,182.5
2015/10/26,5000,180
2015/10/29,10000,180
2015/11/30,10000,200
2015/12/2,30000,220
2015/12/3,3000,220
2015/12/8,10000,220
2015/12/17,14000,220
2015/12/18,12000,220
2015/12/21,2000,220
2015/12/22,4000,220
2015/12/23,35000,220
2015/12/24,10000,220
2015/12/25,17000,220
2015/12/28,1000,220
2015/12/29,7000,207.5
2016/1/6,5000,220
2016/1/7,5000,210
2016/1/14,18000,220
2016/1/22,5000,210
2016/1/25,10000,220
2016/1/29,5000,240
2016/2/16,17000,228
2016/2/17,17000,240
2016/2/19,4000,195
2016/2/22,3000,240
2016/2/25,5000,240
2016/3/1,4000,240
2016/3/3,12000,243.3333333
2016/3/4,14000,240
2016/3/7,7000,260
2016/3/8,5000,260
2016/3/9,12000,260
2016/3/10,4000,260
2016/3/11,3000,260
2016/3/14,2000,260
2016/3/17,3000,260
2016/3/23,1000,260
